100	 18	 14270	 Harlem, NY	 40.8078786	 -73.9454154
101	 237	 179229	 	 0.0	 0.0
102	 4	 3468	 	 0.0	 0.0
103	 10	 6285	 lost angels	 34.2631316	 -118.3657096
104	 11	 12602	 Atlanta 	 33.7490987	 -84.3901849
105	 10	 114	 Atlanta	 33.7490987	 -84.3901849
106	 17	 189	 	 0.0	 0.0
107	 15	 7538	 Atlanta	 33.7490987	 -84.3901849
108	 146	 26635	 Compton	 33.894927	 -118.226624
109	 9	 2708	 Atlanta	 33.7490987	 -84.3901849
110	 12	 311	 Cleveland Hts.	 41.5200518	 -81.556235
111	 14	 3359	 Scamsville, Scamnetticut	 0.0	 0.0
112	 6	 2089	 Kansas City,MO	 38.73285	 -94.534816
113	 8	 329	 Atlanta	 33.7490987	 -84.3901849
114	 19	 21711	 Columbus, OH	 39.9622601	 -83.0007065
115	 2	 5323	 Columbus Ohio	 39.9622601	 -83.0007065
116	 33	 16395	 los angeles / seoul	 -2.8645362	 -78.9872905
117	 3	 70	 	 0.0	 0.0
118	 24	 25914	 Eastside Bakersfield, California	 35.6778838	 -119.1847236
119	 8	 1581	 Chicago	 41.8755546	 -87.6244212
120	 67	 9816	 norwich ct	 53.8309442	 -0.4313217
121	 24	 17280	 lvl/mtl	 0.0	 0.0
122	 7	 1142	 631	 31.8999913208091	 35.1792784836983
123	 17	 40006	 	 0.0	 0.0
124	 20	 66935	 CPT	 51.30375525	 4.92277832807008
125	 58	 3482	 LA	 0.0	 0.0
126	 24	 2287	 UPTOWN	 41.9666299	 -87.6555458
127	 1	 194	 Nashville	 36.1622296	 -86.7743531
128	 22	 17054	 Seattle	 47.6038321	 -122.3300624
129	 1	 1378	 Atlanta	 33.7490987	 -84.3901849
130	 8	 9253	 Virginia, United Sates	 0.0	 0.0
131	 3	 9703	 Toronto	 43.653963	 -79.387207
132	 27	 229008	 El Paso, TX	 31.8111305	 -106.501349395577
133	 33	 53551	 London	 51.5073219	 -0.1276474
134	 28	 81935	 Brooklyn	 25.0611359	 -77.3129254560189
135	 50	 39944	 Chattanooga	 35.0456297	 -85.3096801
136	 2	 85	 Atlanta, Ga	 33.7490987	 -84.3901849
137	 35	 1743	 Houston, TX	 29.7589382	 -95.3676974
138	 58	 306033	 HONOLULU	 21.304547	 -157.8556764
139	 12	 2637	 Nashville, TN	 36.1622296	 -86.7743531
140	 103	 47457	 Atlanta 	 33.7490987	 -84.3901849
141	 21	 34326	 	 0.0	 0.0
142	 44	 12672	 Pittsburgh	 40.4416941	 -79.9900861
143	 14	 721	 CHI	 -31.7613365	 -71.3187697
144	 35	 6334	 Atlanta, GA	 33.7490987	 -84.3901849
145	 44	 2663	 Atlanta	 33.7490987	 -84.3901849
146	 8	 2598	 New York	 40.7306458	 -73.9866136
147	 4	 1187	 Atlanta	 33.7490987	 -84.3901849
148	 55	 34449	 Atlanta	 33.7490987	 -84.3901849
149	 66	 24184	 Atlanta	 33.7490987	 -84.3901849
150	 15	 3410	 Atlanta	 33.7490987	 -84.3901849
151	 88	 39387	 Atlanta	 33.7490987	 -84.3901849
152	 15	 4491	 WORLDWIDE	 53.5120412	 -2.2434612
153	 71	 4208	 Atlanta	 33.7490987	 -84.3901849
154	 4	 14060	 Toronto	 43.653963	 -79.387207
155	 5	 2117	 London	 51.5073219	 -0.1276474
156	 9	 3879	 Brooklyn	 25.0611359	 -77.3129254560189
157	 70	 13754	 	 0.0	 0.0
158	 101	 323075	 Carol City	 25.9406488	 -80.2456045
159	 18	 36156	 	 0.0	 0.0
160	 17	 4172	 Bronx	 40.85703325	 -73.8366961598775
161	 4	 47018	 London	 51.5073219	 -0.1276474
162	 99	 134800	 Broward County	 26.1598074	 -80.4623642
163	 13	 3577	 	 0.0	 0.0
164	 28	 1401	 New York City	 40.7306458	 -73.9866136
165	 1	 4204	 Oslo / Brooklyn	 40.7146536	 -73.9565902512209
166	 2	 5010	 Berlin	 52.5170365	 13.3888599
167	 162	 782	 Chicago	 41.8755546	 -87.6244212
168	 7	 1390	 	 0.0	 0.0
169	 15	 8952	 	 0.0	 0.0
170	 92	 60402	 Philly x Uptown	 29.944475	 -90.0622321
171	 151	 42564	 	 0.0	 0.0
172	 3	 2592	 	 0.0	 0.0
173	 11	 8558	 	 0.0	 0.0
174	 33	 8206	 London	 51.5073219	 -0.1276474
175	 16	 23980	 new york city	 40.7306458	 -73.9866136
176	 4	 24070	 Phoenix, Az	 33.4485866	 -112.0773456
177	 12	 4687	 Indiana	 40.3270127	 -86.1746933
178	 3	 4550	 los angeles	 34.054935	 -118.244476
179	 5	 2651	 Baltimore	 39.2908816	 -76.610759
180	 4	 476	 big ass apple	 0.0	 0.0
181	 12	 7352	 Chicago	 41.8755546	 -87.6244212
182	 9	 6215	 	 0.0	 0.0
183	 3	 2572	 Los Angeles	 34.054935	 -118.244476
184	 53	 14365	 	 0.0	 0.0
185	 63	 4295	 Kingston	 17.9712148	 -76.7928128
186	 44	 39408	 Atlanta	 33.7490987	 -84.3901849
187	 10	 32642	 	 0.0	 0.0
188	 13	 22178	 	 0.0	 0.0
189	 10	 33995	 covington, Louisiana	 30.4754702	 -90.1009108
190	 5	 1096	 Texas	 31.8160381	 -99.5120986
191	 63	 115189	 WORLDSTAR	 0.0	 0.0
192	 660	 64569	 SANTIAGO DE CHILE, COLONIA, BUENOS AIRES, LONDRES, MEDELLÍN...	 0.0	 0.0
193	 8	 4263	 	 0.0	 0.0
194	 17	 5911	 Queens, NY	 40.6524927	 -73.7914214158161
195	 15	 1782	 Baton Rouge	 30.4507462	 -91.154551
196	 128	 3036	 New York	 40.7306458	 -73.9866136
197	 9	 9744	 Los Angeles	 34.054935	 -118.244476
198	 39	 19838	 Philadelphia	 39.9523993	 -75.1635899
199	 14	 17257	 Los Angeles	 34.054935	 -118.244476
200	 26	 25476	 PG COUNTY MARYLAND	 0.0	 0.0
201	 46	 8418	 The Bronx	 40.85703325	 -73.8366961598775
202	 18	 8840	 Wést	 0.5090396	 34.5731341
203	 18	 375	 Chicaglo	 0.0	 0.0
204	 3	 4353	 London	 51.5073219	 -0.1276474
205	 25	 18132	 Haslemere	 51.10527135	 -0.724244802358099
206	 31	 77902	 London	 51.5073219	 -0.1276474
207	 16	 19785	 HASLEMERE	 51.10527135	 -0.724244802358099
208	 25	 43677	 baltimore	 39.2908816	 -76.610759
209	 385	 40100	 Manchester	 53.4791301	 -2.2441009
210	 2	 492	 	 0.0	 0.0
211	 10	 326	 London	 51.5073219	 -0.1276474
212	 34	 28768	 	 0.0	 0.0
213	 20	 446	 Brooklyn	 25.0611359	 -77.3129254560189
214	 6	 800	 Brooklyn, NY	 40.6501038	 -73.9495823
215	 16	 4552	 Paris	 48.8566101	 2.3514992
216	 49	 115153	 City of Brotherly Love	 0.0	 0.0
217	 88	 170586	 Los Angeles	 34.054935	 -118.244476
218	 13	 2262	 Los Angeles, CA	 34.054935	 -118.244476
219	 68	 34271	 MILANO	 45.4667971	 9.1904984
220	 127	 57063	 	 0.0	 0.0
221	 75	 377300	 Sydney	 -33.8548157	 151.2164539
222	 60	 105450	 Toronto	 43.653963	 -79.387207
223	 17	 113720	 	 0.0	 0.0
224	 45	 185943	 	 0.0	 0.0
225	 69	 47712	 Los Angeles	 34.054935	 -118.244476
226	 78	 67844	 Miami	 25.7742658	 -80.1936589
227	 92	 36659	 Cali	 3.4319329	 -76.5113048
228	 49	 10837	 Brazil	 -10.3333333	 -53.2
229	 7	 7811	 Biloxi	 30.374673	 -88.8459433348286
230	 26	 28865	 	 0.0	 0.0
231	 23	 60182	 Los Angeles	 34.054935	 -118.244476
232	 46	 6680	 Miami	 25.7742658	 -80.1936589
233	 376	 205836	 	 0.0	 0.0
234	 242	 180719	 	 0.0	 0.0
235	 119	 38727	 Port of Spain	 10.6572678	 -61.5180173
236	 64	 127458	 Hamburg	 53.550341	 10.000654
237	 315	 38828	 Brooklyn	 25.0611359	 -77.3129254560189
238	 52	 71421	 Paris	 48.8566101	 2.3514992
239	 112	 817584	 Paris	 48.8566101	 2.3514992
240	 22	 142396	 Virginia via Colombia	 4.8995993	 -75.8825661
241	 1	 53092	 Los Angeles	 34.054935	 -118.244476
242	 13	 5686	 Bogota	 40.8762106	 -74.0298621
243	 15	 3937	 Los Angeles	 34.054935	 -118.244476
244	 45	 16318	 	 0.0	 0.0
245	 133	 464735	 London	 51.5073219	 -0.1276474
246	 18	 20190	 Stockholm	 59.3251172	 18.0710935
247	 51	 475517	 Paris	 48.8566101	 2.3514992
248	 1212	 139977	 	 0.0	 0.0
249	 36	 115616	 the wurld	 0.0	 0.0
250	 91	 61242	 	 0.0	 0.0
251	 9	 18920	 Washington DC area	 38.9480062	 -76.9997725235451
252	 6	 2785	 Paris	 48.8566101	 2.3514992
253	 23	 1286	 London	 51.5073219	 -0.1276474
254	 11	 37450	 Lyon	 45.7578137	 4.8320114
255	 78	 156963	 Toronto	 43.653963	 -79.387207
256	 10	 6742	 	 0.0	 0.0
257	 76	 690605	 	 0.0	 0.0
258	 55	 135218	 PANORAMA CITY	 34.2242902	 -118.4453745
259	 5	 60003	 NYC	 40.7306458	 -73.9866136
260	 683	 561315	 Sydney	 -33.8548157	 151.2164539
261	 16	 13167	 	 0.0	 0.0
262	 1033	 8041165	 Brooklyn	 25.0611359	 -77.3129254560189
263	 395	 12987	 Brooklyn	 25.0611359	 -77.3129254560189
264	 10	 70900	 	 0.0	 0.0
265	 34	 996548	 New York, New York	 40.7306458	 -73.9866136
266	 76	 4949856	 Copenhagen	 55.6867243	 12.5700724
